# x_original y_original y_fitted
81.460800 3.974674e-21 -2.533840e-20
81.557000 4.023381e-21 -2.564189e-20
81.653300 4.073048e-21 -2.594121e-20
81.749500 4.123673e-21 -2.623572e-20
81.845800 4.175251e-21 -2.652601e-20
81.942000 4.227775e-21 -2.681146e-20
82.038200 4.281235e-21 -2.709234e-20
82.134500 4.335619e-21 -2.736892e-20
82.230700 4.390908e-21 -2.764060e-20
82.327000 4.447085e-21 -2.790793e-20
82.423200 4.504125e-21 -2.817033e-20
82.519500 4.562000e-21 -2.842833e-20
82.615700 4.620678e-21 -2.868138e-20
82.711900 4.680123e-21 -2.892972e-20
82.808200 4.740292e-21 -2.917359e-20
82.904400 4.801140e-21 -2.941248e-20
83.000700 4.862613e-21 -2.964685e-20
83.096900 4.924654e-21 -2.987621e-20
83.193200 4.987199e-21 -3.010102e-20
83.289400 5.050178e-21 -3.032080e-20
83.385600 5.113516e-21 -3.053577e-20
83.481900 5.177130e-21 -3.074614e-20
83.578100 5.240931e-21 -3.095146e-20
83.674400 5.304824e-21 -3.115214e-20
83.770600 5.368708e-21 -3.134776e-20
83.866900 5.432475e-21 -3.153871e-20
83.963100 5.496012e-21 -3.172459e-20
84.059300 5.559199e-21 -3.190559e-20
84.155600 5.621910e-21 -3.208189e-20
84.251800 5.684017e-21 -3.225310e-20
84.348100 5.745383e-21 -3.241958e-20
84.444300 5.805872e-21 -3.258098e-20
84.540600 5.865342e-21 -3.273763e-20
84.636800 5.923649e-21 -3.288919e-20
84.733100 5.980648e-21 -3.303599e-20
84.829300 6.036194e-21 -3.317770e-20
84.925500 6.090141e-21 -3.331448e-20
85.021800 6.142348e-21 -3.344647e-20
85.118000 6.192673e-21 -3.357339e-20
85.214300 6.240983e-21 -3.369550e-20
85.310500 6.287147e-21 -3.381255e-20
85.406800 6.331043e-21 -3.392478e-20
85.503000 6.372555e-21 -3.403196e-20
85.599200 6.411579e-21 -3.413420e-20
85.695500 6.448019e-21 -3.423162e-20
85.791700 6.481794e-21 -3.432400e-20
85.888000 6.512833e-21 -3.441155e-20
85.984200 6.541078e-21 -3.449408e-20
86.080500 6.566488e-21 -3.457178e-20
86.176700 6.589035e-21 -3.464448e-20
86.272900 6.608707e-21 -3.471227e-20
86.369200 6.625507e-21 -3.477523e-20
86.465400 6.639453e-21 -3.483322e-20
86.561700 6.650580e-21 -3.488638e-20
86.657900 6.658936e-21 -3.493460e-20
86.754200 6.664586e-21 -3.497799e-20
86.850400 6.667606e-21 -3.501647e-20
86.946600 6.668088e-21 -3.505010e-20
87.042900 6.666134e-21 -3.507890e-20
87.139100 6.661858e-21 -3.510284e-20
87.235400 6.655383e-21 -3.512197e-20
87.331600 6.646843e-21 -3.513627e-20
87.427900 6.636378e-21 -3.514577e-20
87.524100 6.624134e-21 -3.515047e-20
87.620400 6.610261e-21 -3.515038e-20
87.716600 6.594917e-21 -3.514553e-20
87.812800 6.578257e-21 -3.513593e-20
87.909100 6.560441e-21 -3.512157e-20
88.005300 6.541628e-21 -3.510251e-20
88.101600 6.521976e-21 -3.507871e-20
88.197800 6.501643e-21 -3.505023e-20
88.294100 6.480780e-21 -3.501705e-20
88.390300 6.459540e-21 -3.497923e-20
88.486500 6.438069e-21 -3.493677e-20
88.582800 6.416509e-21 -3.488964e-20
88.679000 6.394996e-21 -3.483794e-20
88.775300 6.373662e-21 -3.478159e-20
88.871500 6.352633e-21 -3.472072e-20
88.967800 6.332029e-21 -3.465523e-20
89.064000 6.311963e-21 -3.458527e-20
89.160200 6.292544e-21 -3.451080e-20
89.256500 6.273873e-21 -3.443175e-20
89.352700 6.256044e-21 -3.434831e-20
89.449000 6.239150e-21 -3.426032e-20
